segment,sonority,syllabic,consonantal,approximant,sonorant,nasal,continuant,delrel,trill,tap,voice,sprgl,constrgl,labial,round,labiodental,coronal,anterior,distributed,strident,lateral,dorsal,high,low,front,back,tense
ç,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,NA
ʝ,2,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,NA
k,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,1,1,0,0,0,NA
g,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,0,1,1,0,0,0,NA
x,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,1,1,0,0,0,NA
ɣ,2,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,NA,NA,NA,0,1,1,0,0,0,NA
q,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,1,0,0,0,1,NA
ɢ,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,0,1,0,0,0,1,NA
χ,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,1,0,0,0,1,NA
ʁ,2,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,NA,NA,NA,0,1,0,0,0,1,NA
ħ,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,1,0,1,0,1,NA
ʕ,2,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,NA,NA,NA,0,1,0,1,0,1,NA
h,2,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA
ɦ,2,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA
ʔ,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA
ɚ,6,1,0,1,1,0,1,NA,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0
